galaxy name	best fit	R^2	a	b	c	data points
D512-2	polynomial_func	0.9986479921	-3.242089183	19.9945157	6.785301973	4
NGC6789	polynomial_func	0.9997709479	-14.02438912	87.98877969	5.119513497	4
UGC00634	polynomial_func	0.997576134	-0.3512345655	10.65535797	29.18098177	4
UGC07232	power_func	0.9998155173	47.16866682	0.862544026	4.17131529	4
F567-2	power_func	0.976569637	-109.5152743	-2.34672174	50.64991281	5
F574-2	power_func	0.9995702541	45.8752432	0.2504956303	-43.1308213	5
UGC00891	polynomial_func	0.9962429003	-1.160447338	16.75201066	2.725964216	5
UGC02023	power_func	0.9985902193	18.49504526	0.85415079	0.7917191314	5
UGC05999	polynomial_func	0.9784305136	-0.4541808768	12.86748594	8.881200932	5
UGC09992	power_func	0.9954274887	-9.190274397	-0.5409022008	38.60792499	5
D564-8	negative_exponential_func	0.9989578759	-28.93147395	-0.8962945791	26.83444439	6
F561-1	power_func	0.9978668345	-54.33473313	-1.116562392	55.30379577	6
F563-V1	polynomial_func	0.9802009409	-0.8940462843	10.34608559	0.4464437452	6
NGC4068	polynomial_func	0.9986082436	-2.738305985	24.67408148	-0.7517538271	6
NGC4389	power_func	0.9980261598	57.57012563	0.5066592792	-25.57660026	6
PGC51017	polynomial_func	0.9829224948	0.1434802544	-1.286796523	20.96973213	6
UGC05414	power_func	0.9978739281	301.0676542	0.07327269484	-272.4194839	6
UGC06923	polynomial_func	0.9799294724	-2.685949859	26.24002243	17.03096032	6
ESO444-G084	negative_exponential_func	0.997632436	-59.15925239	-0.9450455389	64.41709175	7
F565-V2	negative_exponential_func	0.9975533175	-99.89528829	-0.2856047798	90.81806225	7
F571-V1	power_func	0.9953505325	-116.697186	-0.665362009	106.4734472	7
NGC3949	logarithmic_func	0.9587107529	30.62028695	110.8743066	0	7
NGC4051	polynomial_func	0.8194400509	-0.6744091298	13.35876855	91.38016127	7
NGC4085	negative_exponential_func	0.9947031842	-175.477378	-0.6594113479	139.7357961	7
NGC4138	polynomial_func	0.7543241343	0.027010302	-3.509127782	199.0521376	7
UGC06628	power_func	0.9993116792	-19.00665295	-1.670279516	43.10611957	7
UGC07261	power_func	0.9928467135	-37.80888506	-0.6745052911	86.19773606	7
UGC07559	polynomial_func	0.9992760329	-4.618869994	23.91412158	1.172820479	7
UGC07690	polynomial_func	0.6506645232	-2.90693709	15.12510142	41.01428524	7
UGC07866	power_func	0.9954758973	119.525244	0.08717758176	-96.14723766	7
UGC10310	power_func	0.9952274546	-53.46953256	-0.9262866835	81.88883715	7
UGCA281	negative_exponential_func	0.9963842677	-31.79222357	-2.781043908	31.45083719	7
DDO170	power_func	0.9928980447	-73.43285352	-0.813576478	71.48495954	8
NGC3953	polynomial_func	0.9738017961	-0.6937293662	15.80276525	136.9012115	8
UGC02259	power_func	0.990825784	-45.86587805	-0.6373585209	101.2856454	8
UGC02455	exponential_func	0.9955878546	39.91240783	0.1917343099	-25.75087601	8
UGC04325	negative_exponential_func	0.9978038782	-117.6705662	-1.180864105	92.5021623	8
UGC04483	negative_exponential_func	0.9880458676	-25.57241728	-2.667892445	25.41588096	8
UGC05918	logarithmic_func	0.9922114027	13.10692069	25.57608366	0	8
UGC06818	polynomial_func	0.958726916	-0.7547347629	15.14874116	6.756598552	8
UGC07608	power_func	0.9979241763	2668.240405	0.009824398694	-2640.391432	8
UGC08837	polynomial_func	0.9927976278	-1.308521679	17.90430627	-2.590897642	8
UGCA442	polynomial_func	0.9980060351	-1.917797317	19.90822134	6.619183884	8
CamB	polynomial_func	0.9989845069	-1.212262081	13.60390567	-0.3590684149	9
NGC3992	polynomial_func	0.6574504313	-0.05123446774	2.111319262	241.6305377	9
UGC00191	logarithmic_func	0.9263737926	19.84453358	43.45848423	0	9
UGC04499	polynomial_func	0.9772812914	-1.302809976	17.67601364	14.63573658	9
UGC06399	polynomial_func	0.9902979175	-1.741554361	23.39405983	8.685011002	9
UGC06667	polynomial_func	0.9962488119	-1.654850454	22.47269699	9.725074656	9
UGC06973	power_func	0.8544569411	0.0003496846609	4.97183858	170.7657881	9
UGC07577	exponential_func	0.9997515261	236.3591404	0.03797998002	-234.3232247	9
DDO168	polynomial_func	0.9849764633	-3.940823303	28.73379955	2.119357223	10
F563-V2	logarithmic_func	0.9490241036	31.27570645	51.76936604	0	10
NGC3893	polynomial_func	0.7364424289	-0.4337172282	9.376731819	141.8503268	10
NGC3972	logarithmic_func	0.995728464	41.35184689	48.29526069	0	10
UGC05764	polynomial_func	0.9868920417	-6.83416717	35.22037811	10.10999494	10
UGC06930	polynomial_func	0.9269722719	-0.4061716049	10.27598105	46.24247928	10
UGC07323	polynomial_func	0.9965260219	-1.229845912	19.94071306	12.2980518	10
UGC07399	logarithmic_func	0.9715849338	23.74110235	64.0887388	0	10
UGC11820	power_func	0.9808095781	1172.665872	0.01399830535	-1135.807353	10
NGC2683	power_func	0.7495329525	-1.227297379	1.107911727	208.6088466	11
UGC01230	negative_exponential_func	0.9705770904	-129.8330404	-0.4628467157	107.6660212	11
UGC05005	negative_exponential_func	0.997702433	-98.22132573	-0.1411505368	103.1210906	11
UGC05750	negative_exponential_func	0.9903818745	-89.5537201	-0.2034313082	83.81235255	11
UGC05829	power_func	0.9958245556	28.98110398	0.4925942846	-6.964204474	11
UGC06917	logarithmic_func	0.9675801632	28.10559866	46.93879444	0	11
UGC07151	negative_exponential_func	0.9829656193	-82.50855902	-1.029166569	73.42489638	11
UGC08550	negative_exponential_func	0.9511702155	-52.78443993	-1.200818649	55.7970302	11
DDO154	polynomial_func	0.9986139897	-1.85035328	17.59497395	6.153847006	12
F568-1	negative_exponential_func	0.9950798936	-143.885554	-0.3458828246	138.1173355	12
F583-4	power_func	0.9929542557	95.99204335	0.164441661	-64.49002236	12
NGC3726	logarithmic_func	0.6728974846	23.13160706	92.88373884	0	12
NGC3769	power_func	0.8089097385	-100.040892	-1.97728716	120.2068956	12
NGC4010	polynomial_func	0.9891236888	-1.364755141	24.68910895	15.05585718	12
NGC4088	polynomial_func	0.7082541446	-0.4794848644	13.44183198	89.11319965	12
UGC00731	power_func	0.9916465531	-164.9233305	-0.1323466592	196.3938023	12
UGC05716	polynomial_func	0.989067541	-0.3964774927	8.128821587	32.78419135	12
UGC07089	negative_exponential_func	0.9944824911	-80.50505598	-0.2391997835	87.26535753	12
UGC07603	negative_exponential_func	0.9907951852	-67.9137991	-1.18844878	63.94778655	12
UGC11557	polynomial_func	0.984473195	-1.259952558	21.03989398	-1.135228993	12
F571-8	negative_exponential_func	0.9924708024	-137.3241249	-0.2380396126	148.4834023	13
NGC0801	power_func	0.8565745783	-164.8838476	-2.630961084	223.3532222	13
NGC2998	logarithmic_func	0.8218409499	23.73785758	138.6868539	0	13
NGC3877	negative_exponential_func	0.9961821242	-219.6840938	-0.5474151195	171.6413766	13
UGC06614	polynomial_func	0.6182891139	-0.005722600665	1.017030011	166.8872026	13
UGC07125	power_func	0.9882541008	-70.02384177	-0.454787712	85.40952714	13
DDO064	polynomial_func	0.9687337373	-6.078859972	33.93417412	1.110136445	14
F574-1	negative_exponential_func	0.9981564349	-102.4554348	-0.414147536	99.34997351	14
F579-V1	logarithmic_func	0.885629738	20.13532228	69.30367877	0	14
NGC1705	negative_exponential_func	0.9555023623	-38.96081334	-2.542435745	72.00534205	14
NGC4214	polynomial_func	0.9659284242	-1.609009075	13.27108615	54.73080675	14
ESO079-G014	polynomial_func	0.9942065943	-0.7113494628	21.05127141	22.94653335	15
ESO116-G012	negative_exponential_func	0.9925689417	-105.7950786	-0.4253108955	114.3731158	15
F568-V1	negative_exponential_func	0.9945441096	-120.3472324	-0.498112733	115.1959192	15
KK98-251	polynomial_func	0.9897255341	-3.588789305	23.30354149	-2.515836675	15
NGC6674	polynomial_func	0.1433907669	-0.004021463978	-0.05754290525	259.6070206	15
UGC05986	polynomial_func	0.9812025939	-2.434953774	31.93975894	15.66165803	15
UGC12632	logarithmic_func	0.9804358953	19.12669416	31.13929558	0	15
D631-7	polynomial_func	0.9947582331	-1.255307056	16.53555226	3.585636487	16
UGC12732	logarithmic_func	0.9890508889	21.35918733	35.67219128	0	16
F563-1	power_func	0.9533357444	-107.8883416	-0.7226936041	122.647742	17
NGC3917	polynomial_func	0.9567175714	-1.072265404	23.29949882	17.61140892	17
NGC4157	polynomial_func	0.3910763798	-0.1848834785	6.739581589	134.0169502	17
UGC02487	polynomial_func	0.8001546607	-0.001357006066	-0.6794679517	386.0038556	17
UGC06446	logarithmic_func	0.9353494529	16.90394565	48.71871834	0	17
UGC06983	polynomial_func	0.8593921887	-0.4331329791	9.886534361	55.78691728	17
UGC08286	logarithmic_func	0.9067458312	20.02018981	48.30886426	0	17
F568-3	negative_exponential_func	0.9772220922	-122.8912659	-0.2750184713	112.2293929	18
NGC0891	polynomial_func	0.2534933928	-0.2075792227	3.52551178	209.4926264	18
NGC5005	polynomial_func	0.906962084	-0.8032572469	13.21297918	213.7448001	18
NGC7814	logarithmic_func	0.9567017433	-14.76990265	254.5745077	0	18
NGC4217	polynomial_func	0.8152046784	-1.14624302	24.53318005	68.1634932	19
NGC5371	polynomial_func	0.5762021205	-0.0516966302	2.133011002	209.9602367	19
NGC5907	polynomial_func	0.4336178277	-0.01080708191	0.2441085726	225.1551957	19
UGC02885	power_func	0.4483360771	0.05216882951	1.463769913	273.674844	19
NGC0055	polynomial_func	0.9909253249	-0.6417854108	13.75183592	14.64244491	21
NGC0100	negative_exponential_func	0.9960802286	-91.86361925	-0.3960309122	90.7326019	21
NGC3741	negative_exponential_func	0.9844931093	-45.16704628	-0.3031906269	57.32073455	21
NGC5033	polynomial_func	0.7831436651	-0.03318915624	0.8179985394	215.2860074	22
UGC00128	power_func	0.9765923193	-131.60776	-0.5354415189	148.9164331	22
UGC04305	negative_exponential_func	0.9267427447	-51.9856205	-1.759682158	34.35088025	22
UGC09037	polynomial_func	0.9490804348	-0.2691999377	10.66356786	54.04939003	22
NGC4183	power_func	0.9387014384	-76.65360195	-0.6090920505	126.3802846	23
NGC6195	power_func	0.8398571124	-168.6442481	-2.995246377	247.2195285	23
UGC05721	negative_exponential_func	0.9571599266	-73.38168848	-1.731633503	80.40874222	23
NGC1090	logarithmic_func	0.7984913209	30.54088144	78.43262307	0	24
NGC2955	power_func	0.7234584162	-71.09397617	-1.195602765	264.0185974	24
NGC4100	polynomial_func	0.6539404573	-0.4322266815	10.66949393	125.3537125	24
NGC5585	negative_exponential_func	0.9861154944	-79.84311489	-0.3411244335	94.99908824	24
F583-1	negative_exponential_func	0.989739081	-89.19489398	-0.2825938847	88.81183265	25
NGC0300	power_func	0.9691739211	-88.19682666	-0.4735664439	123.2373046	25
NGC3109	negative_exponential_func	0.9969981154	-78.75156644	-0.3266986999	77.23102884	25
UGC01281	polynomial_func	0.9976653062	-2.934773161	26.39543287	-2.243141847	25
UGC04278	power_func	0.9847040049	20.48279494	0.7612510439	6.159217285	25
NGC0247	logarithmic_func	0.9813975687	28.19872359	32.62180135	0	26
NGC2366	polynomial_func	0.9908851084	-2.671238717	23.38590786	2.222546237	26
NGC2976	polynomial_func	0.988549431	-11.19746514	65.9806305	-1.278757457	27
NGC0289	polynomial_func	0.1323706187	-0.00378741906	0.1191901952	174.9668195	28
NGC5055	polynomial_func	0.2529945015	-0.03349967066	1.477073476	181.0698062	28
NGC0024	negative_exponential_func	0.9918821259	-119.3277416	-1.274962906	108.5546048	29
ESO563-G021	logarithmic_func	0.8727944312	74.09866631	75.61442598	0	30
NGC2915	logarithmic_func	0.7965109326	18.97370222	47.65992049	0	30
UGC03546	logarithmic_func	0.8394094856	-14.67846969	235.4139556	0	30
UGC08490	negative_exponential_func	0.986813666	-64.29780044	-1.275709818	79.1146201	30
DDO161	negative_exponential_func	0.9956897682	-63.53766891	-0.2168395259	71.79454253	31
NGC6503	logarithmic_func	0.3693786263	5.529897186	101.8854197	0	31
UGC07524	negative_exponential_func	0.9946786501	-77.52811074	-0.2911773313	85.36987887	31
UGC12506	power_func	0.8662139653	-136.6778784	-0.6510770737	255.0042592	31
IC4202	negative_exponential_func	0.9876836134	-298.2355066	-0.3953105841	245.3205417	32
NGC4559	power_func	0.9720952029	-93.11470401	-0.4367075228	150.2712134	32
NGC5985	polynomial_func	0.6194436067	-0.1646882952	6.967118799	226.7093466	33
IC2574	power_func	0.9880922689	21.13824013	0.5535269754	-9.033323983	34
NGC2903	logarithmic_func	0.3125615861	18.18041675	148.7515119	0	34
NGC1003	power_func	0.9454791697	-96.50893995	-0.4336230948	133.530845	36
NGC4013	polynomial_func	0.7256312698	0.128163482	-5.488874367	228.5243209	36
NGC7331	polynomial_func	0.2657664651	0.01366538613	-0.8913378452	251.9893487	36
UGC11455	polynomial_func	0.8447904249	-0.344116404	17.52421769	89.44425249	36
UGCA444	negative_exponential_func	0.9893426994	-38.52811616	-0.7957462016	41.60804044	36
NGC3521	polynomial_func	0.449276959	-0.4818476972	8.992122905	182.6120496	41
UGC08699	polynomial_func	0.05263198086	0.01709932047	-0.7196182061	188.061074	41
NGC3198	logarithmic_func	0.8028982344	26.09311429	72.27440715	0	43
UGC02916	polynomial_func	0.7246625315	-0.07442858782	2.087225224	201.5752302	43
NGC6015	negative_exponential_func	0.9556236974	-148.2008257	-0.6898200369	156.2133762	44
UGC06786	polynomial_func	0.7967146025	-0.1526364781	5.668771268	183.8968225	45
NGC7793	polynomial_func	0.9521187637	-3.64320421	35.67161822	28.11136246	46
UGC03580	power_func	0.9453718258	42.60368687	0.2699861825	30.37979585	47
UGC03205	logarithmic_func	0.4330075495	18.17157814	177.9960776	0	48
NGC2841	polynomial_func	0.6417948895	0.01368718525	-1.508962735	324.1993215	50
NGC6946	polynomial_func	0.7226143034	-0.3759090687	8.380491435	130.055373	58
UGC11914	logarithmic_func	0.5510274422	22.54682723	255.7696937	0	65
UGC09133	polynomial_func	0.9213348197	0.004742681468	-1.138752464	289.5273088	68
UGC06787	power_func	0.4748171289	-0.1026262489	-3.284462773	241.4180963	71
NGC2403	logarithmic_func	0.9591126711	21.94814381	77.10839051	0	73
UGC05253	polynomial_func	0.7636863282	-0.02527602947	0.5733701739	242.6793606	73
UGC02953	power_func	0.2974810459	-37.7250561	-0.4282923381	294.5391665	115